member_id,member_no,password,email,fbid,fbemail,mobile_no,salutation,firstname,middlename,lastname,birth_year,birth_month,birth_day,gender,hkid,address1,address2,address3,district,region,reg_source,referrer,reg_status,reg_ip,activate_key,hash_key,session,status,opt_in,member_level_id,member_category_id,available_point,crt_date,upd_date,crt_by_type,crt_by,upd_by_type,upd_by,record_status,fullname,member_level_name
213,MC0001,682AFA4D-30C1EAFB-15FD5442-9F591FFE-F2BF38E9-1C0E53D5-202BD9D2-3D8231EF,MC0001@member.com,,,91235201,1,Nick,Tai Man,Chan,1988,3,19,1,Z5235412,,,,0,0,0,0,0,,,123456,D84FF855-5EAAD88B-275C40FB-69C85F6A-008F5E7C-EB1ECC35-24E4A511-D55F0A36,1,0,3,7,117,2014/4/16 下午 03:15:55,2014/4/29 下午 02:22:42,2,1,2,1,0,"Chan Tai Man, Nick",Platinum
214,MC0002,BF2C8884-09075CC2-DFC8BD06-F9D5158D-32D715AE-B648616B-F0CE0F08-82E042DE,chantaiman2@palmary.com.hk,,,95630256,1,Paul,Chi Chung,Fung,1987,8,27,1,Y1206854,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 03:15:55,2014/4/29 下午 02:22:41,2,1,2,1,0,"Fung Chi Chung, Paul",Normal
215,MC0003,E39EF7F3-27962C67-6CD28EA8-12CBD768-BEC88116-204A52B9-09B7E453-E21F8D9D,chantaiman3@palmary.com.hk,,,62014532,1,Lai,Ming,Lai,1990,12,14,1,C5432019,,,,0,0,0,,0,::1,,,,1,0,1,7,16,2014/4/16 下午 03:15:55,2014/4/29 下午 02:22:41,2,1,2,1,0,"Lai Ming, Lai",Normal
216,MC0004,E7976C18-A67AB784-A2DC7FF2-624CA701-1EDBEDB8-C908FE39-E2F929B7-2EB0FA2F,chantaiman4@palmary.com.hk,,,58123086,4,Joseph,Sze Kit,So,1971,3,19,1,Z4539852,,,,0,0,0,,0,::1,,,,1,0,1,7,16,2014/4/16 下午 03:15:55,2014/4/29 下午 02:22:41,2,1,2,1,0,"So Sze Kit, Joseph",Normal
217,MC0005,2D6FAD4F-25DEFD50-85C70D0E-CD4CCF89-5298090E-6F11339A-7B529A4E-FA55F9E8,chantaiman5@palmary.com.hk,,,98563208,1,Nick,Tui Hing,Wong,1978,9,16,1,Y4569308,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 03:15:55,2014/4/29 下午 02:22:41,2,1,2,1,0,"Wong Tui Hing, Nick",Normal
218,MC0006,134FE5DC-522FD9AB-DB9531D4-789EA163-759AD58B-6413365F-A35DD78C-56E3CCF1,chantaiman6@palmary.com.hk,,,97630259,2,Sally,On Yi,Ho,1976,6,21,2,Z2560279,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 03:15:55,2014/4/29 下午 02:22:41,2,1,2,1,0,"Ho On Yi, Sally",Normal
219,MC0007,047A1D23-0B48EF44-3D9D22F6-68FD5D83-7CFFD536-FE952BF1-BC40D9BC-1C9176E9,chantaiman7@palmary.com.hk,,,68930246,3,Debby,Siu Man,Lam,1989,4,17,2,C1983649,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 03:15:55,2014/4/16 下午 03:15:55,2,1,2,1,0,"Lam Siu Man, Debby",Normal
245,SB245,45E82F6B-EE2120F6-A4091E22-7DFFE7C2-D03E01FB-E2919733-08B6BF0B-93C016D0,t1@test.com,,,,1,,,,1900,1,1,1,,,,,1,1,1,0,0,,,,,1,1,1,7,0,2014/4/26 下午 03:20:38,2014/4/26 下午 03:20:38,-1000,-1001,-1000,-1001,0," , ",Normal
246,SB246,C7394F61-44BDE090-170CA963-F4C448B9-90E9A836-B7682C81-CA19B9D6-D7C960DE,t2@test.com,,,,1,,,,1900,1,1,1,,,,,1,1,1,0,0,,,,,1,1,1,7,0,2014/4/26 下午 03:30:44,2014/4/26 下午 03:30:44,-1000,-1001,-1000,-1001,0," , ",Normal
247,SB247,588F5ADF-228FCABD-4F29091F-D9871D8E-EC2AA30C-3EB10AA3-B1F0C84E-11192D09,t3@test.com,,,,1,,,,1900,1,1,1,,,,,1,1,1,0,0,,,,,1,1,1,7,0,2014/4/26 下午 03:31:31,2014/4/26 下午 03:31:31,-1000,-1001,-1000,-1001,0," , ",Normal
