member_id,member_no,password,email,fbid,fbemail,mobile_no,salutation,firstname,middlename,lastname,birth_year,birth_month,birth_day,gender,hkid,address1,address2,address3,district,region,reg_source,referrer,reg_status,reg_ip,activate_key,hash_key,session,status,opt_in,member_level_id,member_category_id,available_point,crt_date,upd_date,crt_by_type,crt_by,upd_by_type,upd_by,record_status,fullname,member_level_name
234,MB0001,513964EA-94EB0259-E0D57ADB-D8183A2C-1C699BE3-C4E4B0FB-C28354C0-8AC9E2A5,bchantaiman@palmary.com.hk,,,91235201,1,Nick,Tai Man Test,bchan,1988,3,19,1,Z5235412,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:07:45,2,1,2,1,0,"bchan Tai Man Test, Nick",Normal
235,MB0002,F8728347-E48534AD-4A2E3961-87650281-E03EDC6B-937A8D78-0F1A8D60-B20487A0,bchantaiman2@palmary.com.hk,,,95630256,1,Paul,Chi Chung Test,Fung,1987,8,27,1,Y1206854,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:07:45,2,1,2,1,0,"Fung Chi Chung Test, Paul",Normal
236,MB0003,8F96FB99-0D2569BB-92BF69C7-F2C41C82-EB0F1C11-CFB92A23-1C0BE4CB-5CE28D62,bchantaiman3@palmary.com.hk,,,62014532,1,Lai,Ming Test,Lai,1990,12,14,1,C5432019,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:07:45,2,1,2,1,0,"Lai Ming Test, Lai",Normal
237,MB0004,AF22193A-B1C913E5-9F25824D-C45B3326-46AE9B76-9217572B-CE7BF229-D697008A,bchantaiman4@palmary.com.hk,,,58123086,4,Joseph,Sze Kit Test,So,1971,3,19,1,Z4539852,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:07:45,2,1,2,1,0,"So Sze Kit Test, Joseph",Normal
238,MB0005,861629EC-100FA476-2C1F27F1-E41F0C3A-CD90582B-3ADF5B3A-2719A953-E83B5335,bchantaiman5@palmary.com.hk,,,98563208,1,Nick,Tui Hing Test,Wong,1978,9,16,1,Y4569308,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:07:45,2,1,2,1,0,"Wong Tui Hing Test, Nick",Normal
239,MB0006,33894E31-A62DC283-41C83AE7-5993E4E8-D1F63285-36C3E238-AB7689E1-C0956AC2,bchantaiman6@palmary.com.hk,,,97630259,2,Sally,Ho,On Yi,1976,6,21,2,Z2560279,macau,,,0,0,0,0,0,,,123456,,1,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:08:36,2,1,2,1,0,"On Yi Ho, Sally",Normal
240,MB0007,8FC0C006-211AA9FA-541B6BFE-34B82C67-A447F3CA-4881817A-6DEE164A-39C5BF50,bchantaiman7@palmary.com.hk,,,68930246,3,Debby,Siu Man Test,Lam,1989,4,17,2,C1983649,,,,0,0,0,,0,::1,,,,2,0,1,7,0,2014/4/16 下午 04:07:12,2014/4/16 下午 04:07:45,2,1,2,1,0,"Lam Siu Man Test, Debby",Normal
213,MC0001,682AFA4D-30C1EAFB-15FD5442-9F591FFE-F2BF38E9-1C0E53D5-202BD9D2-3D8231EF,chantaiman@palmary.com.hk,,,91235201,1,Nick,Chan,Tai Man,1988,3,19,1,Z5235412,,,,0,0,0,0,0,,,123456,,1,0,3,7,94,2014/4/16 下午 03:15:55,2014/4/16 下午 04:54:20,2,1,2,1,0,"Tai Man Chan, Nick",Platinum
214,MC0002,BF2C8884-09075CC2-DFC8BD06-F9D5158D-32D715AE-B648616B-F0CE0F08-82E042DE,chantaiman2@palmary.com.hk,,,95630256,1,Paul,Chi Chung,Fung,1987,8,27,1,Y1206854,,,,0,0,0,,0,::1,,,,1,0,1,7,61,2014/4/16 下午 03:15:55,2014/4/16 下午 04:42:24,2,1,2,1,0,"Fung Chi Chung, Paul",Normal
215,MC0003,E39EF7F3-27962C67-6CD28EA8-12CBD768-BEC88116-204A52B9-09B7E453-E21F8D9D,chantaiman3@palmary.com.hk,,,62014532,1,Lai,Ming,Lai,1990,12,14,1,C5432019,,,,0,0,0,,0,::1,,,,1,0,1,7,184,2014/4/16 下午 03:15:55,2014/4/16 下午 03:56:05,2,1,2,1,0,"Lai Ming, Lai",Normal
216,MC0004,E7976C18-A67AB784-A2DC7FF2-624CA701-1EDBEDB8-C908FE39-E2F929B7-2EB0FA2F,chantaiman4@palmary.com.hk,,,58123086,4,Joseph,Sze Kit,So,1971,3,19,1,Z4539852,,,,0,0,0,,0,::1,,,,1,0,1,7,180,2014/4/16 下午 03:15:55,2014/4/16 下午 03:56:05,2,1,2,1,0,"So Sze Kit, Joseph",Normal
217,MC0005,2D6FAD4F-25DEFD50-85C70D0E-CD4CCF89-5298090E-6F11339A-7B529A4E-FA55F9E8,chantaiman5@palmary.com.hk,,,98563208,1,Nick,Tui Hing,Wong,1978,9,16,1,Y4569308,,,,0,0,0,,0,::1,,,,1,0,1,7,121,2014/4/16 下午 03:15:55,2014/4/16 下午 03:56:05,2,1,2,1,0,"Wong Tui Hing, Nick",Normal
218,MC0006,134FE5DC-522FD9AB-DB9531D4-789EA163-759AD58B-6413365F-A35DD78C-56E3CCF1,chantaiman6@palmary.com.hk,,,97630259,2,Sally,On Yi,Ho,1976,6,21,2,Z2560279,,,,0,0,0,,0,::1,,,,1,0,1,7,200,2014/4/16 下午 03:15:55,2014/4/16 下午 03:56:05,2,1,2,1,0,"Ho On Yi, Sally",Normal
219,MC0007,047A1D23-0B48EF44-3D9D22F6-68FD5D83-7CFFD536-FE952BF1-BC40D9BC-1C9176E9,chantaiman7@palmary.com.hk,,,68930246,3,Debby,Siu Man,Lam,1989,4,17,2,C1983649,,,,0,0,0,,0,::1,,,,1,0,1,7,0,2014/4/16 下午 03:15:55,2014/4/16 下午 03:15:55,2,1,2,1,0,"Lam Siu Man, Debby",Normal
