transaction_id,type,source_id,location_id,member_id,point_change,point_status,point_expiry_date,display,void_date,remark,status,crt_date,crt_by_type,crt_by,upd_date,upd_by_type,upd_by,record_status,type_name,member_name,member_no,point_status_name,status_name,crt_by_name
42,60,0,2,213,20,1,,True,,,1,2014/8/27 下午 06:17:08,-1000,-1001,2014/8/27 下午 06:17:08,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
41,60,0,1,1357,10,1,,True,,,1,2014/8/27 下午 05:14:35,-1000,-1001,2014/8/27 下午 05:14:35,-1000,-1001,0,Location Presence,"  ",SB1357,,,,
40,60,0,1,1356,10,1,,True,,,1,2014/8/27 下午 05:12:17,-1000,-1001,2014/8/27 下午 05:12:17,-1000,-1001,0,Location Presence,"  ",SB1356,,,,
39,60,0,1,1355,10,1,,True,,,1,2014/8/27 下午 05:11:47,-1000,-1001,2014/8/27 下午 05:11:47,-1000,-1001,0,Location Presence,"  ",SB1355,,,,
38,60,0,1,213,10,1,,True,,,1,2014/8/27 下午 05:09:18,-1000,-1001,2014/8/27 下午 05:09:18,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
37,60,0,1,213,10,1,,True,,,1,2014/8/27 上午 11:26:00,-1000,-1001,2014/8/27 上午 11:26:00,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
36,60,0,1,213,10,1,,True,,,1,2014/8/27 上午 11:14:29,-1000,-1001,2014/8/27 上午 11:14:29,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
35,60,0,1,213,10,1,,True,,,1,2014/8/27 上午 11:08:50,-1000,-1001,2014/8/27 上午 11:08:50,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
34,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 06:26:11,-1000,-1001,2014/8/26 下午 06:26:11,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
33,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 06:25:51,-1000,-1001,2014/8/26 下午 06:25:51,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
32,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 06:23:16,-1000,-1001,2014/8/26 下午 06:23:16,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
31,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 06:18:38,-1000,-1001,2014/8/26 下午 06:18:38,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
30,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 06:02:47,-1000,-1001,2014/8/26 下午 06:02:47,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
29,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 06:01:09,-1000,-1001,2014/8/26 下午 06:01:09,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
28,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 05:58:13,-1000,-1001,2014/8/26 下午 05:58:13,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
27,60,0,1,213,10,1,,True,,,1,2014/8/26 下午 05:42:35,-1000,-1001,2014/8/26 下午 05:42:35,-1000,-1001,0,Location Presence,Nick Tai Man Chan,MC0001,,,,
26,50,0,0,1079,-200,1,,True,,,1,2014/5/13 下午 06:29:53,-1000,-1001,2014/5/13 下午 06:29:53,-1000,-1001,0,Redemption,"Albert von Einstein    ",LFM2001,,,,
25,3,1,0,1079,-50,1,,True,,test,1,2014/5/13 下午 06:06:42,2,1,2014/5/13 下午 06:06:42,2,1,0,Point Adjustment,"Albert von Einstein    ",LFM2001,,,,
